clean_message,sentiment
asalam alaikum today give feedback kaggl notebook miss pleas send remind,Neutral
hey fellow kaggler,Neutral
absolut,Positive
haroon bhai thank,Positive
tri read imag wrote sticki note run loop one imag show,Neutral
havent work yet cnn,Neutral
think bilal bhai might help,Neutral
ya bilal help,Neutral
use os modul isnt strictli necessari read imag commonli use task like iter file directori your tri read multipl imag use loop may need ensur loop correctli iter imag directori file path properli pass imag read function one imag show could issu loop logic file path,Neutral
ye work cnn paid member pump today baba jee given us extra competit task submiss today,Neutral
direct data api process file doesnt,Positive
okay keep work task jazak allah,Positive
today baba jee prais bank churn notebook zoom session yayyyi,Neutral
,Neutral
,Neutral
that great,Positive
gr bilal,Neutral
make bold squar inch os ko import krni ki zaroorat nhe,Positive
assalamoalaikum,Neutral
,Neutral
bhai subha kaggl khare ke upvot tumhri nam kr rha hn,Neutral
new owner kaggl,Positive
sheikh,Neutral
ibrahim bhai work amaz,Positive
ik,Neutral
kaggl member profil link,Neutral
ive attach kaggl profil link pleas follow ill follow everyon even insha allah share danish bahi great job danish bhai your excel work,Positive
g,Neutral
guy need ppl,Positive
shall bring,Positive
bigger commun grow,Positive
opinion,Neutral
member opinion mayb differ,Neutral
yup,Neutral
add individu interest activ particip share work daili contribut valuabl research benefit other,Neutral
boss im admin,Neutral
agre,Neutral
opend ad member option u add member easili,Positive
bring learn,Negative
,Neutral
sab log jab ye submit karway,Neutral
rest follow,Neutral
hous vali data py kn kn work kr rha h,Neutral
pleas send link,Neutral
mei check ker k btani hoon ap ko,Neutral
mei thori dair mei karoo gi,Neutral
ye,Neutral
link address py code bi show ho rha ho ga wo jab remov kr k refresh key gy profil jae gi,Neutral
start today,Neutral
great work,Positive
check updat list today,Neutral
welcom gang,Positive
thanx haroon bhai,Neutral
congratul,Neutral
sha allah,Neutral
kerta hon sorri inconveni,Negative
,Neutral
kaggl member,Neutral
,Neutral
aoa everyon kaggl id pleas follow,Neutral
may meri linkedin k id add ni ho rahi pleas,Neutral
guid,Neutral
note,Neutral
bank churn ka jo competit wo kese submit krana mera competit mai first experi mujhi nhi pta file kon c kese submit krani,Positive
kaggl per notebook banai hai,Neutral
nhi vscode pe bnai sir wali notebook pe hi kam kiya,Neutral
kaggl notebook ko upload krn usko save krn run kr ky jab save ho jay udhr dot pa click krien udhr submit ka option aye ga us pa done kr deyn,Neutral
bhai apko upload karnyka,Neutral
g kaggl pe notebook upload ki hoi lekin competit ka first experi,Positive
tri krta hon,Neutral
notebook save kr k output ka option aye ga waha se b submit hi jay gi notebook submitt done time,Neutral
jab app kaghl se notebook chala kr submit file save kertay hain tu wo output mai aa jati hai ok,Positive
ok,Positive
done,Neutral
bro notebook,Neutral
ye bro,Neutral
plz load notebook give upvot ok,Positive
okay,Positive
assalamoalaikum,Neutral
assalam alaikum,Neutral
pl check,Neutral
public,Neutral
show nahi hu rahi,Neutral
ab check karay,Neutral
ye,Neutral
work fine,Positive
dear mehak,Neutral
dear abdullah,Neutral
comment upvot,Neutral
upvot,Neutral
link bhji ga,Neutral
,Neutral
,Neutral
,Neutral
great job danish question thoughwhi didnt perform miss valu imput drop row impact shape data anyway work impress keep shine like star,Positive
aoa add also mein abhi kafi peech ho also add list,Neutral
aoa everyon kaggl profil pleas follow start post soon,Neutral
assalam alaikum,Neutral
done,Neutral
thank,Neutral
done,Neutral
thank,Neutral
taha must add notebook problem regard kaggl use ask,Neutral
done,Neutral
thank,Neutral
upvot comment,Neutral
thank,Neutral
hi mehak,Neutral
yar suggest feedback comment sent via pm group think,Neutral
ok,Positive
pm,Neutral
mean person messag,Negative
ok,Positive
grp,Neutral
thank abdullah,Neutral
paddi rice diseas classif use cnn tensorflow,Neutral
notebook privat,Neutral
,Neutral
team work,Neutral
insight critic welcom,Positive
made public,Neutral
send link,Neutral
class nhi honi aj,Neutral
,Neutral
ok,Positive
figur submiss issu yet,Neutral
danish bhai bs file ko thora set met krni ka time hi nhi mil raha ooper se lectur miss hovi ja rhi bri preshani bni pri,Neutral
ok submiss issu ka problem ho tu mai code send ker da k,Positive
jab submit krni lga agr smjh na ai mai group mai msg kr lon ga agr koi activ na hova ap ko call kr lon,Negative
ok mai wais code send kr ga app check ker lena,Positive
ok,Positive
ap ne acha kam kiya tha notebook py think ap internship bhi kr rhi hen kiya ap thora bta skti hen ki chiz ki intership kr rhi hen,Neutral
danish bhai ap ki notebook py kafi expert k comment bhi thi ap person relat un se ya unho ne khud hi comment kiya,Neutral
quit activ also activ understood rule kaggl someon upvot upvot peopl ignor that activ peopl dont engag dull one,Negative
mera time hi manag nhi ho pa raha activ kiya khak rhi apni notebook bnai ja nhi rhi logo ki kaha se dekhi,Negative
data scienc intern,Neutral
remot onsit,Neutral
hope best,Positive
remot,Neutral
allah madad kri ga sha allah,Neutral
ki countri ki,Neutral
india,Neutral
kitni month ki,Neutral
one month ki hai,Neutral
paid free,Positive
free,Positive
ok thanx share,Positive
mei ne linkedin per appli kiya tha waha se offer letter aa gaya remot hai intern ap ki merzi hai ap kisi bhi time ker saktay hain hota kiya hai k ap ko task miltay hain unn task ko complet kerna hota hai deadlin se pehl bss iss se ye faida hota hai k agar kahe job kerni hai ap ne futur mei tu experi aa jata hai ziada faida tab hota hai jab physic ho onlin mei itna nhi hai biggin ko new dataset per kam kerna aa jata hai agar ap kaggl per competit mei part lein tu wo experi waha se bhi aa jata hai portfolio bhi strong ho jata hai,Neutral
ap meri notebook k dekhi ek bar btay kiya mak internship krni k kabil ho giya hon ya nhi ya paid internship kr skta hon,Neutral
bro believ,Neutral
basic mai background physic se data scienc ai bs sir ammar se hi seekhta aa raha hon koi dost bhi nhi jo data scienc ki job kr raha ho banda waha se guidelin leta rhi,Neutral
